"API","country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.53-1-MLT-TBPD.A","Malta","0.04","0.04","0.02","0.02","0.02","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-MTQ-TBPD.A","Martinique","-0.078","-0.097","-0.081","-0.088","-0.249","-0.244","-0.269","-0.278","-0.295","-0.322","-0.319","-0.319","-0.319","-0.319","-0.319"
"INTL.53-1-MRT-TBPD.A","Mauritania","0","30.61917808219178","14.991780821917809","12.833333333333334","11.245219178082191","8.23223287671233","7.737641095890411","6.577076502732241","6.7504109589041095","6.003005479452055","5.2465753424657535","4.836065573770492","2","0","0"
"INTL.53-1-MUS-TBPD.A","Mauritius","0","0","0","0","0","0.517","0.482","0.431","0.414","0.603","0.517","0.517","0.517","0.517","0.517"
"INTL.53-1-MEX-TBPD.A","Mexico","3784.0672191780823","3709.5777671232877","3500.289479452055","3186.842524590164","3000.7913835616437","2978.5996438356165","2960.011073972603","2940.716557377049","2915.074506849315","2820.8089726027397","2622.392917808219","2484.3548797814205","2250.5834520547946","2084.482082191781","1919.8081095890411"
"none","Micronesia","","","","","","","","","","","","","","",""
"INTL.53-1-MDA-TBPD.A","Moldova","0","0","0","-0.01","-0.025","-0.017","-0.014","-0.018","-0.018","0.001","-0.018","-0.018","-0.018","-0.018","-0.018"
"INTL.53-1-MNG-TBPD.A","Mongolia","0.55","1.032","2.329","3.208","5.123","5.976","6.983295890410959","9.934508196721312","14.051495890410958","20.288024657534248","23.17655890410959","23.42622950819672","20","20","20"
"INTL.53-1-MNE-TBPD.A","Montenegro","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-MSR-TBPD.A","Montserrat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-MAR-TBPD.A","Morocco","-1.05","-1.247","-1.342","-0.598","-0.58","-0.757","-1.939","-0.998","-0.725","0.062","0.674","0.16","0.16","0.16","0.16"
"INTL.53-1-MOZ-TBPD.A","Mozambique","0","0","0","0","0.02","0","0","0.02","0.03","0.04","0.161","0.281","0.282","0.282","0.282"
"INTL.53-1-NAM-TBPD.A","Namibia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-NRU-TBPD.A","Nauru","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-NPL-TBPD.A","Nepal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-NLD-TBPD.A","Netherlands","84.48846575342466","74.20928767123287","85.01553424657534","69.39780327868853","63.395794520547945","63.14158904109589","71.68372602739726","87.36026775956284","82.80646575342466","95.15152054794521","93.3471095890411","70.12843169398907","70.71112328767123","53.01249315068493","47.55495890410959"
"INTL.53-1-NLDA-TBPD.A","Netherlands Antilles","-0.585","-0.738","0.531","0.661","-0.412","1.76","1.048","0.985","-0.221","0.717","0.927","0.927","0.927","0.927","0.927"
"INTL.53-1-NCL-TBPD.A","New Caledonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-NZL-TBPD.A","New Zealand","27.77408219178082","25.800931506849317","47.597054794520545","65.38593989071039","61.026835616438355","60.71186301369863","52.16659178082192","48.45463387978142","41.90275342465753","49.29969863013699","50.380931506849315","43.90677595628415","40.569931506849315","33.5836301369863","33.75075342465753"
"INTL.53-1-NIC-TBPD.A","Nicaragua","-0.367","-0.412","-0.377","0.574","0.611","-0.214","-0.22","0.058","-0.07","-0.133","-0.253","-0.081","-0.081","-0.081","-0.081"
"INTL.53-1-NER-TBPD.A","Niger","0","0","0","0","0","0","6.755328767123288","20.44","20.616","20.584","14.497","13.497","11.497","9.497","8.412068493150684"
"INTL.53-1-NGA-TBPD.A","Nigeria","2630.8603561643836","2442.25001369863","2352.755835616438","2168.8648907103825","2212.1802876712327","2462.294397260274","2528.185684931507","2511.735289617486","2362.402808219178","2406.3530821917807","2235.261493150685","1938.5427267759562","2015.0888904109588","1982.8423150684932","2015.6532739726028"
